id,name,weight,category,students
HIM951,Health Information Technology,3,Theory,0
HIS682,History,3,Theory,0
HLP340,"Health, Health & Fitness, & PE",3,Theory,0
HOS323,Horticulture Technology,3,Theory,0
HSA784,Health Information Technology,3,Theory,0
HSA614,Radiography,3,Theory,0
HSC607,Health Information Technology,3,Theory,0
HSC648,"Health, Health & Fitness, & PE",3,Theory,0
HSC189,Health-Related,3,Theory,0
HSC579,Radiography,3,Theory,0
HSC669,Respiratory Care,3,Theory,0
HUM923,Humanities,3,Theory,0
HUN326,"Hos/Tour,Bak/Pstry,Cul/Rest Mg",3,Theory,0
HUN802,Nutrition,3,Theory,0
IDH145,Interdisciplinary Studies,1,Lab,0
INP518,Psychology,1,Lab,0
INR255,Political Science,3,Theory,0
INT240,Sign Language,1,Lab,0
IPM550,Horticulture Technology,3,Theory,0
ISS524,Social Science,3,Theory,0
JOU339,Journalism,3,Theory,0
JPN916,Japanese,3,Theory,0
LAT932,Latin,1,Lab,0
LDE513,Horticulture Technology,1,Lab,0
LIS721,Library Science,3,Theory,0
LIT616,English,1,Lab,0
MAC556,Mathematics,3,Theory,0
MAN409,BAS Bus Organizational Leaders,3,Theory,0
MAN263,Business Admin & Management,3,Theory,0
MAP624,Mathematics,3,Theory,0
MAR645,BAS Bus Organizational Leaders,3,Theory,0
MAR193,Business Admin & Management,1,Lab,0
MAT327,Mathematics,3,Theory,0
MCB862,Biology,3,Theory,0
MET640,Meteorology,3,Theory,0
MGF717,Mathematics,3,Theory,0
MKA371,Business Admin & Management,3,Theory,0
MMC358,Mass Communication,3,Theory,0
MNA926,Business Admin & Management,3,Theory,0
MSL922,Military Science,3,Theory,0
MTB198,Business Admin & Management,3,Theory,0
MTB391,Drafting and Design Technology,3,Theory,0
MTB926,Electronics Engin Technology,3,Theory,0
MUC318,Music,3,Theory,0
MUE467,Education,3,Theory,0
MUL161,Music,3,Theory,0
MUM884,Music,1,Lab,0
MUN578,Music,1,Lab,0
MUO248,Music,1,Lab,0
MUS497,Music,1,Lab,0
MUT619,Music,3,Theory,0
MVB862,Music,1,Lab,0
MVK503,Music,1,Lab,0
MVP497,Music,3,Theory,0
MVS258,Music,1,Lab,0
MVV892,Music,3,Theory,0
MVW864,Music,3,Theory,0
NUR913,BS Nursing,3,Theory,0
NUR939,Nursing,3,Theory,0
OCB987,Biology,3,Theory,0
OCE406,Oceanography,1,Lab,0
ORH297,Horticulture Technology,3,Theory,0
OST154,Office and Medical Admin,3,Theory,0
PAX571,Peace Studies,3,Theory,0
PEL676,"Health, Health & Fitness, & PE",3,Theory,0
PEM461,"Health, Health & Fitness, & PE",3,Theory,0
PEN137,"Health, Health & Fitness, & PE",3,Theory,0
PET845,"Health, Health & Fitness, & PE",3,Theory,0
PGY874,Photography,1,Lab,0
PHI752,Logic,3,Theory,0
PHI839,Philosophy,3,Theory,0
PHY491,Physics,3,Theory,0
PLA637,Paralegal Studies,3,Theory,0
PLP503,Horticulture Technology,3,Theory,0
PLS900,Horticulture Technology,3,Theory,0
POR689,Portuguese,3,Theory,0
POS397,Political Science,3,Theory,0
PSY866,Psychology,3,Theory,0
PUR660,Journalism,3,Theory,0
REE115,Real Estate,1,Lab,0
REE461,Residential Property Mngmt,1,Lab,0
REL348,Religion,3,Theory,0
RET914,Respiratory Care,1,Lab,0
RTE386,Radiography,3,Theory,0
SBM514,Business Admin & Management,3,Theory,0
SLS522,Career Development,3,Theory,0
SLS719,Student Life Skills,3,Theory,0
SON968,Sonography,1,Lab,0
SOP372,Psychology,1,Lab,0
SPC190,Speech,3,Theory,0
SPN806,Spanish,3,Theory,0
STA437,Mathematics,3,Theory,0
SUR516,Construction & Civil Eng Tech,3,Theory,0
SWS122,Horticulture Technology,3,Theory,0
SYG493,Sociology,3,Theory,0
TAR470,Construction & Civil Eng Tech,3,Theory,0
TAX418,Accounting,1,Lab,0
THE490,Theater and Entertainment,3,Theory,0
TPA712,Theater and Entertainment,1,Lab,0
TPP533,Theater and Entertainment,3,Theory,0
VEC245,Horticulture Technology,3,Theory,0
WOH413,History,1,Lab,0
